Route No.,Call No.,Route Start Date,Shift Start,Customer ID,Customer Name,Full Address for Address Matching,Customer Address,Country Code,Postcode,Order Details 1,Latitude,Longitude,EQ Code,Fixed Time at Call,Delivery Date,Arrival Time,Contact Number (Daily UID),Depot Address,Route Reference,Stop Departure Date,Depart Time,Driver ID,Route Reference,Next Customer Address,Monday,Depot,Open,Trip Drop No.,Is Crossdock,Depot Name,Route Completion Date,Cube,Units,$,Travel Distance from Prev. Drop,End Depot Arrival Time,Pool Flag,PO #,Legacy Customer ID,Travel Time  from Prev. Call,Store Phone Number
1,1,"1/3/2024",06:26 Wed,"34510927-00","HOME DEPOT #0927","750 US HIGHWAY 130","ROBBINSVILLE","USANJ","08691-2002","27357576",40.197180,-74.640700,"",0:15,"1/3/2024",07:00 Wed,20456,"North Brunswick","T001","1/3/2024",07:15 Wed,"","NBT001010224","ROBBINSVILLE",0,0,"7:00",1,0,"North Brunswick","1/3/2024",1,6,1848,29,13:00 Wed,"","27537217","",0:34,""
1,2,"1/3/2024",06:26 Wed,"34510927-00","HOME DEPOT #0927","750 US HIGHWAY 130","ROBBINSVILLE","USANJ","08691-2002","27360721",40.197180,-74.640700,"",0:15,"1/3/2024",07:15 Wed,20456,"North Brunswick","T001","1/3/2024",07:48 Wed,"","NBT001010224","EGG HARBOR TOWNSHIP",0,0,"7:00",1,0,"North Brunswick","1/3/2024",19300,34,509884,29,13:00 Wed,"","27992101","",0:00,""
1,3,"1/3/2024",06:26 Wed,"34510930-00","HOME DEPOT 0930","6 TOWER AVE","EGG HARBOR TOWNSHIP","USANJ","08234-4864","27360701",39.434060,-74.620390,"",0:15,"1/3/2024",09:13 Wed,20456,"North Brunswick","T001","1/3/2024",10:12 Wed,"","NBT001010224","HOWELL",0,0,"7:00",2,0,"North Brunswick","1/3/2024",25700,39,644834,62,13:00 Wed,"","30992101","",1:25,""
1,4,"1/3/2024",06:26 Wed,"20900-00","SUCCESS HOME IMPROVEMENT INC","6535 US HIGHWAY 9","HOWELL","USANJ","07731-3390","27318762",40.115842,-74.218905,"",0:15,"1/3/2024",11:27 Wed,20456,"North Brunswick","T001","1/3/2024",11:42 Wed,"","NBT001010224","FARMINGDALE",1,0,"10:00",3,0,"North Brunswick","1/3/2024",195,1,0,63,13:00 Wed,"","GEFEN HASAN","",1:15,""
1,5,"1/3/2024",06:26 Wed,"534510032-501","CDS-JSmpl lic www.smpl.com","800 CENTRAL AVE","FARMINGDALE","USANJ","07727-3793","27329824",40.191118,-74.166775,"",0:15,"1/3/2024",12:00 Wed,20456,"North Brunswick","T001","1/3/2024",12:15 Wed,"","NBT001010224","North Brunswick",0,0,"7:00",4,0,"North Brunswick","1/3/2024",100,1,0,10,13:00 Wed,"","3910184A","",0:18,""
2,1,"1/3/2024",08:00 Wed,"34510962-00","HOME DEPOT #0962","736 US HIGHWAY 202","BRIDGEWATER","USANJ","08807-2551","27360604",40.592966,-74.626155,"",0:15,"1/3/2024",08:27 Wed,20456,"North Brunswick","T002","1/3/2024",09:03 Wed,"","NBT002010224","PLAINFIELD",0,0,"7:00",1,0,"North Brunswick","1/4/2024",12800,18,202713,19,08:20 Thu,"","62992101","",0:27,""
2,2,"1/3/2024",08:00 Wed,"553-01","HUSTON LUMBER SUPPLY","2 INTERHAVEN AVE","PLAINFIELD","USANJ","07060-3603","27354356",40.627390,-74.443810,"",0:15,"1/3/2024",09:23 Wed,20456,"North Brunswick","T002","1/3/2024",09:38 Wed,"","NBT002010224","WATCHUNG",0,0,"7:00",2,0,"North Brunswick","1/4/2024",81,1,0,12,08:20 Thu,"","127249RJ/WARRANTY","",0:20,""
2,3,"1/3/2024",08:00 Wed,"553-00","HUSTON LUMBER SUPPLY","2 INTERHAVEN","WATCHUNG","USANJ","7069","27339098",40.628920,-74.442180,"",0:15,"1/3/2024",09:40 Wed,20456,"North Brunswick","T002","1/3/2024",09:55 Wed,"","NBT002010224","KENVIL",0,0,"7:00",3,0,"North Brunswick","1/4/2024",539,1,66437,0,08:20 Thu,"","128408PF","",0:02,""
2,4,"1/3/2024",08:00 Wed,"1662-04","BLUE RIDGE LUMBER","742 US HIGHWAY 46","KENVIL","USANJ","07847-2629","27354751",40.879410,-74.630840,"",0:15,"1/3/2024",10:43 Wed,20456,"North Brunswick","T002","1/3/2024",10:58 Wed,"","NBT002010224","MAHWAH",0,0,"7:00",4,0,"North Brunswick","1/4/2024",1,2,990,34,08:20 Thu,"","37504","",0:48,""
2,5,"1/3/2024",08:00 Wed,"34510963-00","HOME DEPOT 0963","465 STATE HIGHWAY 17","MAHWAH","USANJ","7430","27341420",41.089033,-74.154144,"",0:15,"1/3/2024",11:49 Wed,20456,"North Brunswick","T002","1/3/2024",12:04 Wed,"","NBT002010224","MAHWAH",0,0,"7:00",5,0,"North Brunswick","1/4/2024",218,1,27595,42,08:20 Thu,"","63511877","",0:51,""
