Source.Name,Route No.,Call No.,Route Start Date,Shift Start,Customer ID,Customer Name,Full Address for Address Matching,Customer Address,Country Code,Postcode,Order Details 1,Latitude,Longitude,EQ Code,Fixed Time at Call,Delivery Date,Arrival Time,Contact Number (Daily UID),Depot Address,Route Reference,Stop Departure Date,Depart Time,Driver ID,Route Reference_1,Next Customer Address,Monday,Depot,Open,Trip Drop No.,Is Crossdock,Depot Name,Route Completion Date,Cube,Units,$,Travel Distance from Prev. Drop,End Depot Arrival Time
200LS Export_1004.csv,6,1,10/5/2023,03:59 Thu,20893-00,TIBBETTS LUMBER CO LLC,"3300 Fairfield Avenue S,",SAINT PETERSBURG,USAFL,33712,27245957,27.763462,-82.678186,,12:15:00 AM,10/5/2023,07:00 Thu,20366,Lake City,W006,10/5/2023,07:15 Thu,,LSW006100423,SAINT PETERSBURG,0,0,7:00:00 AM,1,0,"Lake City, FL Domicile",10/5/2023,1,2,2300,194,16:35 Thu
200LS Export_1004.csv,6,2,10/5/2023,03:59 Thu,20893-00,TIBBETTS LUMBER CO LLC,"3300 Fairfield Avenue S,",SAINT PETERSBURG,USAFL,33712,27238523,27.763462,-82.678186,,12:15:00 AM,10/5/2023,07:15 Thu,20366,Lake City,W006,10/5/2023,07:15 Thu,,LSW006100423,SAINT PETERSBURG,0,0,7:00:00 AM,1,0,"Lake City, FL Domicile",10/5/2023,404,4,21984,194,16:35 Thu
200LS Export_1004.csv,6,3,10/5/2023,03:59 Thu,34516364-00,6364 Home Depot,2070 TYRONE BLVD N,SAINT PETERSBURG,USAFL,33710-4843,27263066,27.790935,-82.726834,,12:15:00 AM,10/5/2023,07:24 Thu,20366,Lake City,W006,10/5/2023,08:27 Thu,,LSW006100423,SAINT PETERSBURG,0,0,7:00:00 AM,2,0,"Lake City, FL Domicile",10/5/2023,28104,54,1724764,4,16:35 Thu
200LS Export_1004.csv,6,4,10/5/2023,03:59 Thu,34516364-00,6364 Home Depot,2070 TYRONE BLVD N,SAINT PETERSBURG,USAFL,33710-4843,27262527,27.790935,-82.726834,,12:15:00 AM,10/5/2023,08:27 Thu,20366,Lake City,W006,10/5/2023,08:28 Thu,,LSW006100423,SAINT PETERSBURG,0,0,7:00:00 AM,2,0,"Lake City, FL Domicile",10/5/2023,594,1,56521,4,16:35 Thu
200LS Export_1004.csv,6,5,10/5/2023,03:59 Thu,34516364-00,6364 Home Depot,2070 TYRONE BLVD N,SAINT PETERSBURG,USAFL,33710-4843,27256802,27.790935,-82.726834,,12:15:00 AM,10/5/2023,08:28 Thu,20366,Lake City,W006,10/5/2023,08:28 Thu,,LSW006100423,SAINT PETERSBURG,0,0,7:00:00 AM,2,0,"Lake City, FL Domicile",10/5/2023,7,1,0,4,16:35 Thu
200LS Export_1004.csv,6,6,10/5/2023,03:59 Thu,34516364-00,6364 Home Depot,2070 TYRONE BLVD N,SAINT PETERSBURG,USAFL,33710-4843,27250748,27.790935,-82.726834,,12:15:00 AM,10/5/2023,08:28 Thu,20366,Lake City,W006,10/5/2023,08:28 Thu,,LSW006100423,SAINT PETERSBURG,0,0,7:00:00 AM,2,0,"Lake City, FL Domicile",10/5/2023,183,1,11783,4,16:35 Thu
200LS Export_1004.csv,6,7,10/5/2023,03:59 Thu,34516364-00,6364 Home Depot,2070 TYRONE BLVD N,SAINT PETERSBURG,USAFL,33710-4843,27247276,27.790935,-82.726834,,12:15:00 AM,10/5/2023,08:28 Thu,20366,Lake City,W006,10/5/2023,08:28 Thu,,LSW006100423,SEMINOLE,0,0,7:00:00 AM,2,0,"Lake City, FL Domicile",10/5/2023,291,1,44462,4,16:35 Thu
200LS Export_1004.csv,6,8,10/5/2023,03:59 Thu,34516304-00,6304 Home Depot,10550 PARK BLVD,SEMINOLE,USAFL,33772-5436,27261025,27.839437,-82.784141,,12:15:00 AM,10/5/2023,08:40 Thu,20366,Lake City,W006,10/5/2023,09:04 Thu,,LSW006100423,SEMINOLE,1,0,7:00:00 AM,3,0,"Lake City, FL Domicile",10/5/2023,5336,22,347115,6,16:35 Thu
200LS Export_1004.csv,6,9,10/5/2023,03:59 Thu,34516304-00,6304 Home Depot,10550 PARK BLVD,SEMINOLE,USAFL,33772-5436,27257254,27.839437,-82.784141,,12:15:00 AM,10/5/2023,09:04 Thu,20366,Lake City,W006,10/5/2023,09:04 Thu,,LSW006100423,SEMINOLE,1,0,7:00:00 AM,3,0,"Lake City, FL Domicile",10/5/2023,180,1,18753,6,16:35 Thu
200LS Export_1004.csv,6,10,10/5/2023,03:59 Thu,34516304-00,6304 Home Depot,10550 PARK BLVD,SEMINOLE,USAFL,33772-5436,27257115,27.839437,-82.784141,,12:15:00 AM,10/5/2023,09:04 Thu,20366,Lake City,W006,10/5/2023,09:04 Thu,,LSW006100423,LARGO,1,0,7:00:00 AM,3,0,"Lake City, FL Domicile",10/5/2023,318,1,20980,6,16:35 Thu
